date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_remainder,dayofweek_sin,dayofweek_cos,month_sin,month_cos,RR,NBJRR1,NBJRR5,NBJRR10
2009-07-10,1187.9695,217.641,242.24911805555556,3.513402777777778,988.0,2625.5,7494.5,8691.491666666667,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-11,993.968,249.472,242.21479166666666,3.018194444444444,981.0,683.0,7756.0,7146.133333333333,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-12,513.478,191.48,242.3049375,1.6009722222222222,0.0,589.0,4060.0,3908.9666666666667,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-13,496.746,196.526,242.5475138888889,1.5625,0.0,594.0,3881.0,3804.1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-14,911.43,266.574,242.2053888888889,2.8152777777777778,2303.0,618.0,6155.0,6114.5,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-15,718.074,189.692,241.92689583333333,2.1675,878.0,932.0,5820.0,4337.9,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-16,599.554,259.326,242.11697916666668,1.876111111111111,0.0,1724.0,3902.0,4366.566666666667,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-17,731.808,179.13400000000001,241.59461805555554,2.1952777777777777,0.0,626.0,6670.0,4900.8,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-18,966.41,218.338,242.00627777777777,2.884861111111111,0.0,663.0,5389.0,10054.833333333334,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-19,1203.644,259.25,242.04660416666667,3.5258333333333334,0.0,598.0,5058.0,14404.733333333334,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-20,662.486,217.864,241.84186111111114,2.0479166666666666,914.0,784.0,4948.0,4395.433333333333,0.0,1.0,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-21,813.7620000000001,266.7,242.522875,2.5005555555555556,0.0,981.0,7795.0,4786.7,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-22,739.532,238.48,242.07941666666665,2.2625,0.0,681.0,3965.0,7679.533333333334,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-23,1030.0,218.91,241.94331944444446,3.0527777777777776,926.0,622.0,9064.0,6554.666666666667,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-24,561.738,208.536,241.7508263888889,1.756527777777778,0.0,630.0,4128.0,4604.3,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-25,536.688,195.46,242.09706944444446,1.6822222222222223,0.0,577.0,3716.0,4651.8,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-26,543.016,239.798,242.65740277777775,1.7173611111111111,0.0,1019.0,3799.0,4232.266666666666,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-27,688.566,321.95,242.52809027777778,2.1820833333333334,0.0,2062.0,5202.0,4212.1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-28,902.85,252.766,242.22140972222223,2.7680555555555557,0.0,4899.0,4353.0,5795.5,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-29,902.0,185.468,241.50047222222221,2.711388888888889,869.0,749.0,7549.0,5866.333333333333,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-30,792.326,198.206,242.4390138888889,2.4106944444444447,0.0,2304.0,4040.0,6861.433333333333,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-07-31,975.83,228.246,241.87106250000002,3.002222222222222,865.0,3423.0,6302.0,5673.833333333333,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,3.22,10.0,2.0,0.0
2009-08-01,706.966,242.662,241.50300694444445,2.207361111111111,0.0,844.0,6248.0,4690.766666666666,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-02,489.724,205.492,240.94159722222224,1.5684722222222223,0.0,637.0,3539.0,3986.0666666666666,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-03,500.298,197.3,241.92006944444447,1.5655555555555556,0.0,605.0,3811.0,3922.3,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-04,508.892,196.38,242.27648611111113,1.6094444444444445,0.0,607.0,3871.0,4003.5333333333333,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-05,518.652,207.894,242.30757638888886,1.6444444444444444,0.0,620.0,4042.0,3982.2,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-06,532.672,214.786,241.22875000000002,1.677361111111111,0.0,659.0,4193.0,4025.866666666667,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-07,539.296,221.29,241.3577986111111,1.6958333333333333,0.0,668.0,4232.0,4088.2666666666664,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
2009-08-08,526.472,214.068,241.72709722222223,1.6597222222222223,0.0,646.0,4093.0,4035.5333333333333,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0.75,2.0,1.0,0.0
