AAAAMM,RR,NBJRR1,NBJRR5,NBJRR10
200612,6.779999999999999,9.0,5.0,3.0
200701,2.34,10.0,0.0,0.0
200702,7.8,13.0,6.0,2.0
200703,3.9,12.0,3.0,0.0
200704,1.15,1.0,1.0,1.0
200705,8.190000000000001,13.0,7.0,2.0
200706,4.9,12.0,4.0,0.0
200707,7.74,11.0,5.0,3.0
200708,13.330000000000002,15.0,8.0,4.0
200709,1.65,5.0,1.0,0.0
200710,5.2299999999999995,5.0,4.0,1.0
200711,3.37,8.0,2.0,0.0
200712,5.51,11.0,4.0,1.0
200801,4.89,9.0,3.0,2.0
200802,3.2399999999999998,8.0,2.0,1.0
200803,8.25,19.0,7.0,1.0
200804,4.64,12.0,3.0,0.0
200805,6.21,8.0,3.0,1.0
200806,1.8,5.0,1.0,0.0
200807,4.07,7.0,3.0,1.0
200808,5.39,7.0,2.0,2.0
200809,2.8600000000000003,6.0,1.0,1.0
200810,7.25,11.0,5.0,2.0
200811,5.01,14.0,3.0,0.0
200812,3.29,10.0,2.0,0.0
200901,5.18,10.0,4.0,1.0
200902,5.12,10.0,4.0,1.0
200903,2.96,9.0,2.0,0.0
200904,3.9200000000000004,8.0,3.0,1.0
200905,6.220000000000001,9.0,4.0,2.0
200906,6.51,8.0,5.0,3.0
200907,3.22,10.0,2.0,0.0
200908,0.75,2.0,1.0,0.0
200909,2.0100000000000002,5.0,2.0,0.0
200910,5.0200000000000005,10.0,3.0,2.0
200911,6.04,16.0,4.0,1.0
200912,7.290000000000001,15.0,8.0,1.0
201001,3.54,7.0,3.0,1.0
201002,5.26,12.0,3.0,2.0
201003,3.87,9.0,4.0,0.0
201004,1.58,3.0,1.0,0.0
201005,5.54,8.0,5.0,1.0
201006,7.279999999999999,7.0,4.0,2.0
201007,7.090000000000001,5.0,3.0,2.0
201008,4.6899999999999995,12.0,3.0,1.0
201009,6.63,9.0,5.0,2.0
201010,3.95,8.0,3.0,0.0
201011,8.09,14.0,6.0,3.0
