target_month,source_month
200612,200611
200701,200612
200702,200701
200703,200702
200704,200703
200705,200704
200706,200705
200707,200706
200708,200707
200709,200708
200710,200709
200711,200710
200712,200711
200801,200712
200802,200801
200803,200802
200804,200803
200805,200804
200806,200805
200807,200806
200808,200807
200809,200808
200810,200809
200811,200810
200812,200811
200901,200812
200902,200901
200903,200902
200904,200903
200905,200904
200906,200905
200907,200906
200908,200907
200909,200908
200910,200909
200911,200910
200912,200911
201001,200912
201002,201001
201003,201002
201004,201003
201005,201004
201006,201005
201007,201006
201008,201007
201009,201008
201010,201009
201011,201010
