model_name,horizon,seed,input_len,validation_protocol,pvg_time_pooling,epochs,batch_size,lr,evaluation_protocol,test_mse,test_mae,best_epoch,best_validation_mse_norm,final_train_mse_norm,test_windows,validation_windows,train_windows,checkpoint_path
lstm,90,42,90,fixed_holdout,last,30,32,0.001,fixed_holdout,190990.140625,354.9144897460937,29,0.7541294693946838,0.3363971126322843,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h90_seed42_best_validation.pt
lstm,90,43,90,fixed_holdout,last,30,32,0.001,fixed_holdout,254023.859375,412.0427551269531,30,0.7538989782333374,0.3313691536990963,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h90_seed43_best_validation.pt
lstm,90,44,90,fixed_holdout,last,30,32,0.001,fixed_holdout,145374.171875,311.7920227050781,27,0.6659634709358215,0.3360567822748301,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h90_seed44_best_validation.pt
lstm,90,45,90,fixed_holdout,last,30,32,0.001,fixed_holdout,149660.984375,309.9163513183594,25,0.6964724659919739,0.3366537799640577,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h90_seed45_best_validation.pt
lstm,90,46,90,fixed_holdout,last,30,32,0.001,fixed_holdout,183819.53125,351.9098815917969,30,0.7523822784423828,0.3354247869277487,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/lstm_h90_seed46_best_validation.pt
transformer,90,42,90,fixed_holdout,last,30,32,0.001,fixed_holdout,152472.28125,315.61627197265625,7,0.7079823017120361,0.3248522859446856,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h90_seed42_best_validation.pt
transformer,90,43,90,fixed_holdout,last,30,32,0.001,fixed_holdout,181456.75,339.68145751953125,5,0.7028543949127197,0.3273216808328823,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h90_seed43_best_validation.pt
transformer,90,44,90,fixed_holdout,last,30,32,0.001,fixed_holdout,148093.53125,315.0137023925781,7,0.6670254468917847,0.3265990037090924,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h90_seed44_best_validation.pt
transformer,90,45,90,fixed_holdout,last,30,32,0.001,fixed_holdout,169172.359375,327.9299011230469,5,0.6472707986831665,0.3283035536201633,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h90_seed45_best_validation.pt
transformer,90,46,90,fixed_holdout,last,30,32,0.001,fixed_holdout,226354.78125,384.563720703125,30,0.6493927836418152,0.3206728070366139,1,1,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/fixed_holdout_asof_lag1_v2/checkpoints/transformer_h90_seed46_best_validation.pt
