model,horizon,mse_mean,mse_std,mae_mean,mae_std,runs,train_windows,test_windows
lstm,90,223008.084375,9144.515931056956,363.41044921875,6.778520044682476,5,757,415
transformer,90,199242.396875,26144.48004227159,347.2531433105469,21.0010198943807,5,757,415
pvg_itransformer,90,158417.609375,8465.357184006329,306.6705078125,8.359622802593197,5,757,415
pvg_no_time,90,151969.09375,5200.905896973136,300.9040771484375,8.121636391117608,5,757,415
pvg_no_variable,90,169661.53125,8063.327997348381,319.5993957519531,7.387042395185354,5,757,415
pvg_no_gate,90,158172.0,4903.707779608502,307.5657165527344,5.359638062927086,5,757,415
lstm,365,178906.303125,5968.404612149803,331.8674377441406,4.655247694994236,5,482,140
transformer,365,212223.640625,10390.705743271807,365.19073486328125,10.455243025444373,5,482,140
pvg_itransformer,365,171061.69375,8067.709531765531,322.1560974121094,7.421601892547362,5,482,140
pvg_no_time,365,158587.35625,9446.710983223817,306.03017578125,9.483202308322294,5,482,140
pvg_no_variable,365,202247.43125,13071.90279975435,352.0857238769531,11.77596153349395,5,482,140
pvg_no_gate,365,174182.503125,9143.130378571424,324.9302062988281,8.753072659274894,5,482,140
