model_name,horizon,seed,input_len,epochs,batch_size,lr,evaluation_protocol,test_mse,test_mae,best_epoch,best_validation_mse_norm,final_train_mse_norm,test_windows,validation_windows,train_windows,checkpoint_path
lstm,90,42,90,30,32,0.001,fixed_holdout,143050.859375,306.3396301269531,9,0.5516873988984288,0.3315318476180641,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed42_best_validation.pt
lstm,90,42,90,30,32,0.001,rolling_origin,167303.359375,320.07647705078125,9,0.5516873988984288,0.3315318476180641,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed42_best_validation.pt
lstm,90,43,90,30,32,0.001,fixed_holdout,104561.765625,253.65757751464844,10,0.5407473939484444,0.3311433664390019,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed43_best_validation.pt
lstm,90,43,90,30,32,0.001,rolling_origin,161820.828125,315.3828125,10,0.5407473939484444,0.3311433664390019,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed43_best_validation.pt
lstm,90,44,90,30,32,0.001,fixed_holdout,120120.2109375,287.5503845214844,7,0.5392104423996331,0.33553133144670605,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed44_best_validation.pt
lstm,90,44,90,30,32,0.001,rolling_origin,161604.546875,313.025146484375,7,0.5392104423996331,0.33553133144670605,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed44_best_validation.pt
lstm,90,45,90,30,32,0.001,fixed_holdout,102580.3125,249.05429077148438,14,0.5412329489338226,0.3399644627863047,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed45_best_validation.pt
lstm,90,45,90,30,32,0.001,rolling_origin,166525.484375,318.37506103515625,14,0.5412329489338226,0.3399644627863047,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed45_best_validation.pt
lstm,90,46,90,30,32,0.001,fixed_holdout,99820.5,251.31573486328125,9,0.5378728802653326,0.33522110447591663,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed46_best_validation.pt
lstm,90,46,90,30,32,0.001,rolling_origin,161695.765625,313.4710693359375,9,0.5378728802653326,0.33522110447591663,415,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/lstm_h90_seed46_best_validation.pt
transformer,90,42,90,30,32,0.001,fixed_holdout,194838.375,364.2115478515625,3,0.5997169667827911,0.3329781737862801,1,276,392,/mnt/sdc/zoujunjie/mlearn_power_coursework/runs/causal_tvt_full_20260711/checkpoints/transformer_h90_seed42_best_validation.pt
