model,horizon,evaluation_protocol,mse_mean,mse_std,mae_mean,mae_std,runs,train_windows,test_windows
lstm,90,fixed_holdout,114026.7296875,18041.29700804268,269.5835235595703,25.896991731487876,5,392,1
transformer,90,fixed_holdout,162343.1,25156.719976288747,334.0252624511719,25.83295728705714,5,392,1
pvg_itransformer,90,fixed_holdout,205982.80625,55601.23636685409,371.28692016601565,51.95048649158785,5,392,1
lstm,90,rolling_origin,163789.996875,2866.4538072335845,316.06611328125,3.0766414070254364,5,392,415
transformer,90,rolling_origin,168910.696875,9199.440651222296,323.0681640625,10.486446564291134,5,392,415
pvg_itransformer,90,rolling_origin,159866.64375,10748.082688606743,314.2641845703125,13.195880701022425,5,392,415
lstm,365,fixed_holdout,157782.36875,5982.654076078489,314.686328125,8.743593085623909,5,117,1
transformer,365,fixed_holdout,152953.028125,10790.840716729545,300.84813232421874,10.470380639662302,5,117,1
pvg_itransformer,365,fixed_holdout,144538.91875,3880.2962135490156,293.397119140625,2.883784227225072,5,117,1
lstm,365,rolling_origin,297809.74375,21072.390458024205,429.37822875976565,17.188025830721653,5,117,140
transformer,365,rolling_origin,376921.8,25017.88613503011,492.06845703125,20.6267862407267,5,117,140
pvg_itransformer,365,rolling_origin,285783.825,15876.757916180615,423.40562744140624,13.632734917683628,5,117,140
